hashtag_H	 cluster_C_leader_user_id	 relative_frequency_H_C	 frequency_H_in_C	 frequency_H_overall	 count_H_in_C	 count_tweets_in_C	 count_H_entire_dataset	 count_tweets_entire_dataset
annihilatelnpcrooks	 1501061983273054208	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
announceables	 1478301414916911107	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
astrazeneca	 1513997146642657283	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
astrology	 1504564452536037376	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
astronomy	 1504564452536037376	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
auspoi	 1515837315024752642	 1.92832596956308298582	 .00147275405007363770	 .00076374745417515274	 1	 679	 3	 3928
auspol	 1519333339668553728	 2.61369483826321486273	 .11045655375552282768	 .04226069246435845213	 75	 679	 166	 3928
auspol2022	 1497776151615664136	 1.65285083105407111525	 .00294550810014727540	 .00178207739307535641	 2	 679	 7	 3928
auspol22	 1516644379942789120	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
auspoll	 1493849545650077698	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
auspolsocorrupt	 1501061983273054208	 2.31399116347569955875	 .00294550810014727540	 .00127291242362525458	 2	 679	 5	 3928
australia	 1518017146529652737	 4.13212707763517779374	 .00736377025036818851	 .00178207739307535641	 5	 679	 7	 3928
australiahasfallen	 1481523085803401216	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
ausvotes	 1518401138386604032	 3.53526427753231877314	 .01620029455081001472	 .00458248472505091649	 11	 679	 18	 3928
ausvotes2022	 1516551216234627072	 2.41040746195385371188	 .00736377025036818851	 .00305498981670061099	 5	 679	 12	 3928
ausvotes22	 1517791101947551745	 1.92832596956308298582	 .00147275405007363770	 .00076374745417515274	 1	 679	 3	 3928
author	 1504905411207450624	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
authorsoftwitter	 1504895933774979079	 5.78497790868924895748	 .00441826215022091310	 .00076374745417515274	 3	 679	 3	 3928
autoimmuneconditions	 1481754751570268164	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
azovbatallion	 1504928141692788737	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
azovnazis	 1504928141692788737	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
ba2	 1503727337694797829	 1.92832596956308297320	 .00294550810014727540	 .00152749490835030549	 2	 679	 6	 3928
bancongressionalstock	 1486058764100771841	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
bccrss	 1509148946140209154	 1.70146409079095555707	 .00736377025036818851	 .00432790224032586558	 5	 679	 17	 3928
bcpoli	 1491306773806194688	 .64277532318769432299	 .00147275405007363770	 .00229124236252545824	 1	 679	 9	 3928
beaheroforvotingrights	 1482391203270344707	 3.85665193912616597165	 .00294550810014727540	 .00076374745417515274	 2	 679	 3	 3928
befierce	 1501283385783865355	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
benghazi	 1516998050010435584	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
berejiklian	 1487222400123273220	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
berkshire	 1511731475376451585	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
betoforgovernor	 1482091826907652103	 .96416298478154148660	 .00147275405007363770	 .00152749490835030549	 1	 679	 6	 3928
betofortexas	 1497616898476982274	 2.47927624658110667287	 .00441826215022091310	 .00178207739307535641	 3	 679	 7	 3928
bidenboom	 1489845832249655299	 2.89248895434462445980	 .00294550810014727540	 .00101832993890020366	 2	 679	 4	 3928
bidendelivers	 1487536824075669506	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
bidenstrong	 1499152208318943245	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
big12	 1479181338842390536	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
biggestloser	 1482586482640670724	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
bigot	 1483520116415352832	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
birthcertificatefraud	 1509147342632632321	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
blickblick	 1505757347297349632	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
blogger	 1504905411207450624	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
bnefloods	 1500658106447327232	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
boebert	 1514612424850116617	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
bolshevik	 1504509648405213184	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
bootlnpout	 1509016490896683008	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
borisjohnson	 1505277122356645889	 2.31399116347569955875	 .00294550810014727540	 .00127291242362525458	 2	 679	 5	 3928
borisjohnsonout	 1483585037022990336	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
boristheliar	 1513110301201379336	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
boycottfaroeislands	 1475910747477749772	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
boycottwalgreens	 1494510710470033409	 5.78497790868924891961	 .00294550810014727540	 .00050916496945010183	 2	 679	 2	 3928
brain	 1481754751570268164	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
brexit	 1505277122356645889	 2.06606353881758889107	 .00736377025036818851	 .00356415478615071283	 5	 679	 14	 3928
brexitdisaster	 1513110301201379336	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
brexithasfailed	 1520315728951488512	 1.92832596956308298582	 .00147275405007363770	 .00076374745417515274	 1	 679	 3	 3928
brexitshambles	 1513110301201379336	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
britain	 1504564452536037376	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
britneyspears	 1504292592342736896	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
bru2301	 1485344722189262851	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
bruxelles	 1485344722189262851	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
bucha	 1511433734565740544	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
bussin	 1490848411259527173	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
callanelection	 1483309125694291968	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
calltheelection	 1484020653347184644	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
calltheelectionffffffhead	 1494204197339684870	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
cancers	 1481754751570268164	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
candyno	 1503430574689579008	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
carrieantoinette	 1481314666999595013	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
cashlessdebitcard	 1516644379942789120	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
cashlesswelfarecard	 1516644379942789120	 5.78497790868924891961	 .00294550810014727540	 .00050916496945010183	 2	 679	 2	 3928
catch22	 1513578377235644416	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
catsneedingrescue	 1508358763379576833	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
catsofukraine	 1508358763379576833	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
caturday	 1517802395270586368	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
chelsea	 1505677618833674241	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
childtaxcredit	 1483931374092492800	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
cleanenergy	 1497788447443992577	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
climatecrisis	 1478143021715578882	 .72312223858615611140	 .00147275405007363770	 .00203665987780040733	 1	 679	 8	 3928
climateemergency	 1512638255165935617	 1.44624447717231222990	 .00147275405007363770	 .00101832993890020366	 1	 679	 4	 3928
clivepalmer	 1492405820281454592	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
closetheskyoverukraine	 1499667921664045058	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
colouroflaw	 1513578377235644416	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
commerce	 1513578377235644416	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
commonlaw	 1509147342632632321	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
comparethepair	 1515616070320922635	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
completepsycho	 1492062459674624005	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
corrupt	 1498226869266788353	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
corruptgop	 1506665194818203649	 1.92832596956308298582	 .00147275405007363770	 .00076374745417515274	 1	 679	 3	 3928
corrupttoriesout	 1513110301201379336	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
costoflivingcrisis	 1511731475376451585	 3.85665193912616597165	 .00294550810014727540	 .00076374745417515274	 2	 679	 3	 3928
coutts	 1504899668546707458	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
covid	 1519044130986508289	 1.86612190602878996596	 .01472754050073637702	 .00789205702647657841	 10	 679	 31	 3928
covid19	 1509879199506608128	 1.15699558173784977982	 .01767304860088365243	 .01527494908350305498	 12	 679	 60	 3928
covid19ab	 1504518708777021447	 1.92832596956308298582	 .00147275405007363770	 .00076374745417515274	 1	 679	 3	 3928
covid19au	 1513630841028550658	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
covid19aus	 1481502547160584193	 1.44624447717231222990	 .00147275405007363770	 .00101832993890020366	 1	 679	 4	 3928
covidelimination	 1486334281416908804	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
covidisairborne	 1501436070361190404	 .38566519391261659312	 .00147275405007363770	 .00381873727087576374	 1	 679	 15	 3928
covidisnotover	 1519044130986508289	 .96416298478154148350	 .00589101620029455081	 .00610997963340122199	 4	 679	 24	 3928
covidisntover	 1511282244316401667	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
cpsc22	 1505118216321966083	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
crookdevelopers	 1478301414916911107	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
