hashtag_H, cluster_C_leader_user_id, relative_frequency_H_C, frequency_H_in_C, frequency_H_overall, count_H_in_C, count_tweets_in_C, count_H_entire_dataset, count_tweets_entire_dataset
a5459051, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5460304, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5460619, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5465788, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5465929, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5468862, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5469496, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5473816, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a5473817, 17531651, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a760068, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a760377, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a760534, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a762176, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
a762275, 1060440219097423872, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aaaaaaputin, 870244616003403781, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
aaaai2022, 1308267623327518725, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aanes, 997262774, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aaronrodgers, 244954523, .99521848222316905644, .00004734176016664299, .00004756921320521358, 2, 42246, 3, 63066
ab1400, 2530758806, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
abba, 29447428, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abbottelementary, 838381908656603144, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abbottfailedtexas, 1155192156, 1.19426217866780299386, .00009468352033328599, .00007928202200868930, 4, 42246, 5, 63066
abbottfailedtexasagain, 244954523, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
abbotttax, 1155192156, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abbvie, 870244616003403781, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abc, 2886667320, .94998127848575225821, .00016569616058325048, .00017442044841911648, 7, 42246, 11, 63066
abc2020, 614600545, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
abc730, 2886667320, .74641386166737679836, .00033139232116650097, .00044397932324866013, 14, 42246, 28, 63066
abcbreakfastnews, 2574271742, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
