hashtag_H                                  cluster_C_leader_user_id  relative_frequency_H_C  frequency_H_in_C       frequency_H_overall    count_H_in_C  count_tweets_in_C  count_H_entire_dataset  count_tweets_entire_dataset
alexhawke                                  1499683752938643461       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
alp                                        1513378021545476098       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
amazon                                     1504895933774979079       3.57090909090909092651  .00181818181818181818  .00050916496945010183  2             1100               2                       3928
anexprience                                1506297750731857921       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
angusgate                                  1501061983273054208       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
annihilatelnp                              1512638255165935617       2.67818181818181819488  .00272727272727272727  .00101832993890020366  3             1100               4                       3928
annihilatelnpcrooks                        1501061983273054208       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
announceables                              1478301414916911107       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
astrazeneca                                1513997146642657283       1.78545454545454546325  .00090909090909090909  .00050916496945010183  1             1100               2                       3928
astrology                                  1504564452536037376       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
astronomy                                  1504564452536037376       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
auspoi                                     1515837315024752642       1.19030303030303031663  .00090909090909090909  .00076374745417515274  1             1100               3                       3928
auspol                                     1519333339668553728       1.61336254107338444700  .06818181818181818181  .04226069246435845213  75            1100               166                     3928
auspol2022                                 1497776151615664136       1.02025974025974026185  .00181818181818181818  .00178207739307535641  2             1100               7                       3928
auspol22                                   1516644379942789120       1.78545454545454546325  .00090909090909090909  .00050916496945010183  1             1100               2                       3928
auspoll                                    1493849545650077698       1.78545454545454546325  .00090909090909090909  .00050916496945010183  1             1100               2                       3928
auspolsocorrupt                            1501061983273054208       1.42836363636363636499  .00181818181818181818  .00127291242362525458  2             1100               5                       3928
australia                                  1518017146529652737       2.55064935064935065464  .00454545454545454545  .00178207739307535641  5             1100               7                       3928
australiahasfallen                         1481523085803401216       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
ausvotes                                   1518401138386604032       2.18222222222222222552  .01000000000000000000  .00458248472505091649  11            1100               18                      3928
ausvotes2022                               1516551216234627072       1.48787878787878788117  .00454545454545454545  .00305498981670061099  5             1100               12                      3928
ausvotes22                                 1517791101947551745       1.19030303030303031663  .00090909090909090909  .00076374745417515274  1             1100               3                       3928
author                                     1504905411207450624       3.57090909090909099664  .00090909090909090909  .00025458248472505091  1             1100               1                       3928
